"redni broj"	"URL"	"thumb"	"koordinate "	"id. Broj"	"naziv djela"	"ime autora"	"prezime autora"	"godina nastanka"	"tehnika"	"format"	"vlasnik"	"link vlasnik"	"glavni narativ uz djelo )pojavljije se kao prvi pasus)"	"sekundarni narativ uz djelo, slijedi nakon prvog, služi obično da se povežu pojedine tačke"	"narativ za koji se veže. Ako ih ima više razdvojiti ih sa tačka zarez, npr: Miunović Milo;Boka kotorska; ovo se pojavljuje nakon teksta o jedinici "	"način pojavljivanja prilikom pretrage? Ovome je posvećena velia pažnja u ovoj probnoj aplikacij"	"kategorija"	"komentar uz link, tj. Informacija na što upućuje pošto se uvijek ne zaključuje iz linka. U U mapu ovo ide zajedno"	"Column4"
141	"https://raw.githubusercontent.com/LazarPejovic/testiranje-za-exel-linkovi/refs/heads/main/1013_Kuja%C4%8Di%C4%87%20Mirko%20Kanli%20Kula.jpg"		"42.452120,18.539997"	1013	"Kanli kula"	"Mirko "	"Kujačić"	1949	"ulje na platnu"	"74,5 x 100,5 "	"NMCG"		"Tokom boravka u Crnoj Gori slika u duhu poetskog realizma, nadahnut primorskom atmosferom. Ponovo će se vratiti ovom načinu rada u tzv. mostarskom periodu (1961–1987). Takav je primjer slika “Kanli kula”. Iako naziv ukazuje na temu koju obrađuje predstava tvrđave je smještena u zadnjem planu, diskretno uklopljena u ambijent i dramatičnu amosferu neba pri zalasku sunca. Dominira gusto rastinje, u nekoliko toplih tonova zelene, prikazujući skoro šumoviti predio na mjestu koje danas ispunjavaju građevine. Ova slika ujedno je i jedna vrsta romantizovanog podsjećanja na Herceg Novi koji danas više nije grad zelenila kakav ne nekada bio."	"Kanli kula (“krvava kula”) je monumentalna tvrđava u Starom dijelu Herceg Novog sa otvorenim amfiteatrom, a izgradili su je Turci 1539. godine. Tokom turskog upravljanja Herceg Novim (1482-1687) služila je kao zatvor. Izgrađena je na temeljima druge tvrđave, o čemu svedoče dva kamena na istočnom zidu na kojima su ostali čitljivi natpisi. Na jednom piše DEUS CREATUS (stvorio bog), a na drugom IN PACE (u miru). Da li su oni uzeti sa građevine koja je tu prije postojala, ili su pak odnekud donešeni – nije poznato. U ostacima zidina moguće je identifikovati elemente mletačke i autrougarske arhitekture. Unutar kule se nalazi dobro očuvana cistjerna koja je  korišćena kao zatvorska ćelija. Na njenim zidovima nalaze se crteži galija, predstava riba, grbovi, krstovi, imena i datumi.  Crteži galija bliski su izgledu koje je turska koristila tokom 16. i 17. vijeka, pa se pretpostavlja da su je Turci za ove svrhe koristili veoma dugo, sve do kraja svoje vladavine u Herceg Novom. Za vrijeme mletačke uprave koristila se kao kasarna i konjušnica. Baza današnje kule je nepravilnog oblika sa približnom veličinom od 70x60 metara sa relativno dobro očuvanim vanjskim zidovima i tornjevima na uglovima. Unutrašnjost kule je prvo rekonstruisana 1960. godine za ljetnju scenu koja se i danas koristi."	"Mirko Kujačić; Herceg Novi"				
146			"42.222003,19.111104"	1014	"Godinjska gorica"	"Velimir Veliša"	"Leković"		"pastel na papiru "	"48,5x69,5"	"NMCG"		"Karakterističan crnogorski pejzaž — blage padine i zasadi vinove loze u okolini Godinja, sela poznatog po terasastim vinogradima i suhozidima. Leković pažljivo gradi kompoziciju ritmičnim nizovima vinove loze i kamenih ograda, dok tonovi zemlje i zelenila stvaraju osjećaj topline i plodnosti. U njegovom prikazu nema dramatike planinskog pejzaža, već smiren, gotovo meditativan doživljaj krajolika u kojem se ogleda sklad između čovjeka i prirode u zaleđu Skadarskog jezera."	"Njegova paleta varira od svjetlih, pastelnih tonova preko tamnih kojima se okreće u kasnijim godinama."	"Veliša Lekovič; Skadarsko jezero"				
17			"42.43402974792681, 18.857866556769544"	1015	"Porušeno  Čekanje"	"Petar"	"Lubarda"	1947	"ulje na platnu"	"95,5x98"	"NMCG"		"Dominantan kolorit je zeleno-smeđi sa apstrahovanim predstavama rastinja i stijena i fasadama srušenih kuća bez krova. U radovima nastalim u kasnijim godinama, paleta je razvjetljena, namaz je plošniji i odražava dramatičnost forme.  "	"Selo Čekanje je mjesto svega nekoliko kilometara udaljeno od Cetinja. Još krajem XIX vijeka tu je bilo zborno mjesto za žene iz okolnih sela Katunske nahije koje su sa svojim domaćim proizvodima išle na pazar/pjacu u Kotoru. Zbog svoje dobre povezanosti ovaj prostor je bio pogodan za trgovinu. 

Po istorijskim svjedočanstvima selo su zapalili italijanski okupatori kao znak odmazde zbog podizanja Trinaestojulskog ustanka koji je označio početak Narodnooslobodilačkog rata u Jugoslaviji 1941, a ujedno predstavljao najveći ustanak u tadašnjoj Evropi. "	"Petar Lubarda; Lovćen; Cetinje"				
20			"42.36109603161682, 18.99694857700749"	1016	"Vrtijeljka"	"Petar"	"Lubarda"	1950	"ulje na platnu"	"80,8x63,8"	"NMCG"		"Stilski, ova slika predstavlja promjene u tretmanu plohe kojima počinje proces deformacije: brdo je predstavljeno kao masa koja dominira kompozicijom. Kolorit je snažan i ima simboličko značenje, baziran na zemljanim i intenzivnim modrim sivo-plavim  i oker-zelenim tonovima sa oranž akcentima i ekspresivnim nanosima, što doprinosi monumentalizaciji pejzaža. "	"U poslijeratnom periodu nastupa promjena u načinu slikanja postaknuta doživljajem srednjevjekovnih fresaka. Tokom 1949. obilazi manastire Srbije i Makedonije i ta iskustva utiču na drugačiji način slikanja. Koristi mješavnu ulja, gipsa i mermernog praha, čime postiže krečnu fakturu, a za rad koristi špahtle i noževe.
Slika Vrtijeljka (brdo nedaleko od Cetinja) pripada ranom poslijeratnom periodu stvaralaštva Petra Lubarde, u kojem se umjetnik postepeno udaljava od predratnog, pretežno realističkog i prelazi u fazu eksperimentalnog formalnog istraživanja. Ova faza, koja obuhvata period s kraja 1940-ih i prve godine 1950-ih, obilježena je postepenim razlaganjem forme, slobodnijom upotrebom boje i sve naglašenijom ekspresivnošću kompozicije.
Već samim odabirom teme razlikuje se od tada dominantnih tokova socrealističke paradigme i samim tim predstavlja otklon od zvanične estetske politike u trenutku kada je ona još uvijek imala snažan institucionalni autoritet. "	"Petar Lubarda; Cetinje"				
99				1017	"Motiv iz Crmnice"	"Petar "	"Lubarda"	1946	"pastel na kartonu"	"42x50,5"	"NMCG"		"Djelo odlikuje taman kolorit, intenzivnih sivih i plavo-zelenih i smeđih gustih nanosa. Predstavom dominira karakterističan krševiti pejzaž sa niskim rastinjem  i kamenim kućama."		"Petar Lubarda; Bar"				
21			"42.304273,18.897606"	1018	"Brajići"	"Petar"	"Lubarda"	1950	"ulje na platnu"	"74,5x100,5"	"NMCG"		"Kompozicija je frontalna, sa zgusnutim formama, pri čemu planinski masiv i zemljište dobijaju gotovo monumentalnu težinu. Linije brda, urbano okruženje i horizonti nisu više precizni topografski podaci. Boje su gušće, kontrastnije, ponegdje sabijene u gotovo arhaične plohe. "	"Ovaj zaokret ka snažnijem kolorističkom izrazu signalizira prelazak ka modernističkom jeziku, koji se kod Lubarde u potpunosti razvija već početkom 1950-ih.
Površina slike postaje gotovo reljefna, što pejzažu daje gotovo taktilni kvalitet. Ova materijalnost platna počinje da potiskuje narativni sadržaj i pejzaž se sve više transformiše u nosioca ekspresije. 
Slika Brajići stoji na raskršću između realističkog prikazivanja i ekspresivne apstrakcije. "	"Petar Lubarda; Cetinje"				
100				1019	"Brda"	"Petar "	"Lubarda"	1949	"ulje na platnu"	"51x78"	"NMCG"		"Slikom dominira pastelni plavo-sivi kolorit i izrazita bjelina koja se odslikava na nebu i površinama brda. "	"Jedna od velikih tema u njegovom opusu su crnogorska brda iz okoline Cetinja, koja će često raditi u serijama."	"Petar Lubarda; Cetinje"				
101				1020	"Crnogorska brda"	"Petar "	"Lubarda"	1950	"ulje na platnu"	"69x98,3"	"NMCG"		"Isti motiv prikazan uz veće svođenje elemenata, snažno konutiranim, vijugavim linijama brda. Kolorit je sivo-plavi, sa većim bijelim površinama i crvenim akcentom u prvom planu."	"Slika predstavlja uvertiru za radove (Noć u Crnoj Gori, Između dana i noći) koji će nastati u narednim godinama, a koji će označiti usmjeravanje ka apstraktnom slikarstvu."	"Petar Ćuković; Cetinje"				
102				1021	"Iz okoline Cetinja"	"Petar "	"Lubarda"	1947	"akvarel i olovka u boji"	"49,5x64,5"	"NMCG"		"Planinski predio sa niskim kamenim kućama, postavljenim u centar kompozicije, okruženih planinskim masivom. Koloristički ujednačena, u dominantno oranž i smeđim tonovima. "		"Petar Lubarda; Cetinje"				
98			"42.09258578524845, 19.135521930255916"	1023	"Pogled sa Starog Bara"	"Petar "	"Lubarda"	1949	"ulje na platnu"	"201 x 161 "	"NMCG; Salon 13. Novembar"		"Prikaz Starog Bara nije dokumentaristički, već je transformisan u prikaz prostora snažno prožet emocijom. Panorama naselja ispod starog grada sa pogledom na obalu. karakterističan plavo - zeleni kolorit sa svjtlim i crvenim akcentima.
"	"Ova slika predstavlja važan trenutak u Lubardinom slikarskom razvoju – prelaz iz realističnog i ekspresivnog slikarstva ka sve većem stupnju stilizacije i forme bliske lirskom modernizmu. Lubardin kolorit je bogat, ali u kontrolisanoj harmoniji, sa jednom vrstom bakarnog prizvuka u tonu i jasno definisanim planovima pejzaža. U kontrastu sa kasnijim djelima iz pedesetih i šezdesetih godina – gdje dominiraju dekomponovani oblici, tamniji tonovi i simbolička prenaglašenost – ova slika djeluje smirenija, ali nosi snažan osjećaj prostora i specifične odlike pejzaža, što ostaje Lubardin zaštitni znak."	"Petar Lubarda; Bar"				
18			"42.4338778768569, 18.857862971522493"	1024	"Porušeno selo Čekanje"	"Petar"	"Lubarda"	1950	"ulje na platnu"	"59,5x72,7"	"NMCG"		"Na slici iz 1950. dominiraju bijela i siva, potencirajući posnost pejzaža i surovost crnogorskog krša, sa tek ponekim žutim i crvenim plamenim akcentom. Ruševine kao da su sasvim srasle sa okolinom i postale dio negostoljubivog tla, odajući atmosferu mističnosti. "	"Značajan dio Lubardinog opusa posvetećen je istorijskim događajima, posebno vezanim za Drugi svjetski rat, tokom kojeg je proveo nekoliko godina u zarobljeništvu. U logoru je takođe crtao i ostavio dragocjena svjedočanstva o vremenu provedenom u pritvoru."	"Petar Lubarda; Lovćen; Cetinje"				
97				1025	"Stijene "	"Petar "	"Lubarda"	1949	"ulje na platnu"	"95 x 63 "	"NMCG"		"Deatljno raščlanjenih nekoliko stijena definisanih kolorističkim prelazima zelenih, smeđih i oker tonova, postavljenih naspram intenzivno sivo-plave pozadine neba."		"Petar Lubarda; Cetinje"				
96			"42.362904,19.057792"	1026	"Vranjina"	"Petar "	"Lubarda"		"ulje na platnu"	"81 x 64,5 "	"NMCG"		"Ova apstraktna kompozicija realizovana je intenzivnim koloritom, posnim nanosima dominantno plavo-zelenog tona sa pastelnim plavim i sivim površinama i intenzivnim oranž i crvenim akcentima u prvom planu. Iako smješten u drugom planu posebno se izdvaja plavo-ljubičasti predio Vranjine. 
"	"Česta inspiracija mnogim crnogorskim slikarima je predio Skadarskog jezera, naročito pozicija sa Pavlove strane odakle se pruža pogled na dva karakteristična gola brda na ostrvu Vranjina. Izvorno ono je bilo hum (uzvišenje) koje je postalo ostrvo usled podizanja nivoa vode u XIII vijeku. Ovo mjesto je bilo često poprište bitaka Crnogoraca sa Turcima. Kao i neki drugi i ovaj motiv je bio je inspiracija kroz različite stilske tretmane otkrivajući Lubardino slikarsko majstorstvo."	"Petar Lubarda; Skadarsko jezero"				
62	"https://raw.githubusercontent.com/LazarPejovic/testiranje-za-exel-linkovi/refs/heads/main/1028_Maskareli%20Mario%20Palac%20iz%20Dobrote.jpg"		"42.463538,18.763785"	1028	"Palac iz Dobrote"	"Mario"	"Maskareli"		"ulje na platnu"	"60x72"	"NMCG"		"Slika predstavlja realistički naslikanu glavnu fasadu jedne od najljepših kotorskih palata – kuću porodice Tripković iz XVII vijeka. Kolorit je pastelni sa dominantnim sio-oker i zelenim tonovima za gusto rastinje koje je okružuje, potencirajući primorsku atmosferu, sa brdima koja se naziru u pozadini."	"Palata Tripković je jedna od najimpozantnijih baroknih palata Boke Kotorske, kotorske porodice koja je imala važnu ulogu u razvoju Dobrote. Imali su 18 brodova, a iz ove familije poteklo je 86 pomoraca od kojih 63 kapetana. Palata je izdignuta na plato, ograđena kamenim zidom na kojem je grb. Dvorište upotpunjuju balustrada i vrt tzv.„đardin”. Izgrađena od korčulanskog kamena, ima konobu, dva sprata i na vrhu etažu u obliku belvedera, sa zabatom baroknih linija. Kao i mnoge druge bogataške kuće toga vremena imala pontu i prilaz za barku. Raskošno opremljena i danas plijeni pažnju."	"Mario Maskareli; Kotor"				
2			"                  42.257067,18.893035"	1029	"Sveti Stefan"	"Milo"	"Milunović"	"oko 1960"	"jajčana tempera na kartonu"	"40,5x 48,5"	"NMCG"		"Na ovoj slici skoro monohromnih, pastelnih tonova, forme objekata su svedene na bojene površine, bez zalaženja u detalje, zadržavajući prepoznatljive konture poluostrva, sa naglaskom na promenadi koja je u prvom planu."	"Milunovićevo slikarstvo pedesetih i šezdesetih godina odlikuje svođenje kolorita na zemljane boje pod uticajem impresija izazvanih slikarstvom Pompeja, ali i srednjevjekovnim freskama manastira Sopoćani. To će imati osjeka i na prikazima Sv. Stefana. Za vrijeme ljetnjih mjeseci pravio je skice koje je potom razrađivao po povratku u Beograd, pretvarajući ih u monumentalne kompozicije, najčešće realizovane temperom, akrilikom, a nerijetko i u akvarelu."	"Milo Milunović; Sveti Stefan"				2
94			"42.30633879696357, 18.89570365381607"	1030	"Iz okoline Budve"	"Milo"	"Milunović"		"tempera na papiru"	"18,2x21,4"	"NMCG"		"Apstraktnna kompozicija, dominantno sivih tonova. Pejzaž je definisan dinamičnim bojenim nanosima bez jasnih struktura formi."		"Milo Milunović; Budva"				
95			"42.385018,18.920968"	1031	"Iz okoline Cetinja"	"Milo"	"Milunović"		"pastel na kartonu"	"39,7x48,5"	"NMCG"		"Krševiti predio kojim dominira stijena u prvom planu i konture brda u pozadini, između kojih su na uzvišenju smještene niske kuća koje se izdvajaju crvenim krovom, ušuškane u gusto zelenilo."		"Milo Milunović; Cetinje"				
1			"42.256094,18.891866"	1032	"Kuća na Svetom Stefanu "	"Milo"	"Milunović"	1949	"ulje na platnu"	"65x92"	"NMCG"	"vlasnik"	"Slika predstavlja jedan netipičan pogled iz pozicije poluostrva ka kopnu i objekte koji se nalaze neposredno uz obalu. Predstava kuće okružene gustim rastinjem i brdima koja se uzdižu u pozadini odiše monumentalnošću predjela. Karakterističan pastelni terakota kolorit dominira prvim planom i nešto intenzivniji sivo-zeleni tonovi u pozadini."	"Za Milunovića, koji je na obali u blizini imao malu kuću, Sveti Stefan je predstavljao izvor neprestane inspiracije. 
„Već dugo godina opredeljen sam za sunčane pejzaže i svet mora... Uvek ih radim sa istim uživanjem, nijanse jednog te istog motiva su neizmerne“ – govorio je neumorno slikajući poglede na poluostrvo iz različitih vizura, tokom skoro čitave svoje karijere. Kroz različiti tretman ove teme mogu se pratiti promjene u načinu slikanja, od vjernog prikazivanja predjela ka postepenom svođenju na apstrakciju, što će uslijediti u kasnim godinama. 
"	"Milo Milunović; Sveti Stefan"				1
4			"42.256575,18.893043"	1033	"Sveti Stefan"	"Milo"	"Milunović"		"pastel"	"70,5x54"	"NMCG"		"Vjernost prikaza i atmosfere osjeća se na slici koja prikazuje pogled na prednji plan iz neposredne blizine, sa druge strane šetališta. Sliku odlikuje pastelni kolorit, oker i terakota koje daju snažan utisak svjetlosti što dodatno potenciraju netipični plavi tonovi neba."	"Motivom Svetog Stefana se bavio u različitim tehnikama – od ulja preko pastela i akvarela, sagledavajući ga svaki put na drugačiji način."	"Milo Milunović; Sveti Stefan"				
5			"42.257571,18.892799"	1034	"Sveti Stefan"	"Milo"	"Milunović"	1958	"tempera na platnu"	"98x123"	"NMCG, Kolekcija Vukmanović"		"Ovaj rad je znatno apstraktniji, sveden na geometrijske oblike, stavljajući akcenat na naselje izbliza, uvodeći i element grane u prvom planu. Suptilno pretapanje oranž-oker i plavo-zelenih tonova stvorilo je raskošnu kompoziciju sa snažnim mediteranskim duhom što posredno svedoči o umjetnikovom majstorstvu."	"Nešto drugačija atmosfera postignuta je na slici koja se nalazi u kolekciji Svetozara Vukmanovića Tempa i Milice Sarić Vukmanović. Budući da su bili prijatelji u Zbirci se nalazi deset Milunovićevih radova i četiri djela njegove supruge takođe slikarke Olge Boganović Milunović. "	"Milo Milunović; Sveti Stefan; Kolekcija Vukmanović"				
103				1038	"Iz okoline Cetinja"	"Pero "	"Poček"		"ulje na dasci"	"26x40,7"	"NMCG"		"Kompozicija ujednačenog, intenzivnog zelenog kolorita sa oker i bakarnim površinama u prvom planu. Dva stoga sijena u prvom planu predstavljaju protivteću intenzivnim, tamnim tonovima u pozadini."	"Tokom boravka u Crnoj Gori Poček je naslikao znatan broj pejzaža iz okoline Cetinja, Lovćena, Ulcinja sa izrazitim karakteristikama impresionizma."	"Pero Poček; Cetinje"				
104			"42.42194837688778, 18.798935001487685"	1039	"Pejzaž s Lovćenom"	"Pero "	"Poček"		"ulje na dasci"	"28,8x15,8"	"NMCG"		"Kompozicija izrazito svjetlog kolorita predstavlja dio serpentina - starog puta od Kotora ka Cetinju sa pogledom na Lovćenski masiv. Svedeni kolorit, sivih i plavičastih sa velikim površinama bijele boje koja doprinosi utisku snažne svjetlosti."		"Pero Poček; Lovćen"				
105			"42.38185010806174, 18.831797400290256"	1040	"Igre na Lovćenu"	"Pero "	"Poček"		"ulje na lesonitu"	"35x50"	"NMCG"		"Figuralna kompozicija, sa mnoštom aktera raspoređenih u nekoliko grupa, predstavljenih dok igraju, dok nekoliko figura sjeti i posmatra. Bez zalaženja u detalje akcenat je stavljen na dinamiku pokreta, sa intenzivnim smeđe-crvenkastim tonovima, dok je pejzaž u pozadini snažno osvijetljen."	"Djelo ""Gorski vijenac"" petra II Petrovića Njegoša poslužilo je kao predloža za seriju radova u kojima ilustruje različite scene. Radovi iz ovog ciklusa nalaze se u fondu Njegoševog muzeja - Bilajrde na Cetinju."	"Pero Poček; Lovćen"				
106			"42.38746206855542, 18.921671030473778"	1041	"Kolo pred crkvom"	"Pero "	"Poček"		"ulje na lesonitu"	"37,5x50"	"NMCG"		"Figure u crnogorskoj narodnoj nošnji povezane u nizu igraju kolo ispred Cetinjskog manastira, prilikom neke svečanosti. Figure su definisane bojom bez jasnog definisanja fizionomija i odjeće."	"Ciklus ""Gorski vijenac"", rad dio serije iz fonda Biljarde."	"Pero Poček; Cetinje"				
107			"42.399475253219556, 18.837804576893074"	1042	"Scena iz Gorskog vijenca"	"Pero "	"Poček"				"NMCG"								
108				1043	"Predio"	"Pero "	"Poček"		"ulje na dasci"	"15,5x28,5"	"NMCG"		"Primorski motiv sa malom uvalom u prvom planu i djelovima pejzaža koji se vide u daljivi. Površina vode i nebo realizovani posnim, pastelnim nanosima, dok je pejzaž definisan gustim, slojevitim nanosima smeđe-zelenih tonova."		"Pero Poček"				
109			"41.985203377490905, 19.22984153544432"	1044	"Ulcinjsko polje"	"Pero "	"Poček"		"ulje na platnu"	"81x147,5"	"NMCG"		"Pogled na polje nedaleko od Ulcinja, sa masivnim stijenama i kućom u prvom planu. Dominantan zeleni kolorit postepeno prelazi u plavičaste i skoro bijele plohe na horizontu. Snažna svjetlost i gusti nanosi odlikuju impresionistički karakter ove slike."		"Pero Poček; Ulcinj"				
110			"42.405103068721424, 18.836647334368383"	1045	"Lovćen"	"Pero "	"Poček"		"ulje na dasci"	"15,6x28,3"	"NMCG"		"Pogled na podlovćensku udolinu nad kojom se uzdiže planinski masiv. Komponovana od smeđih i zelenih, gustih, ""čupavih"" nanosa, iako mala po formatu stvara utisak monumentalnosti predstave."		"Pero Poček; Lovčen"				
